loan_id,customer_id,loan_type,loan_amount,interest_rate,emi_amount,loan_status
10063,39137,Home Loan,4789849,12.05,79830.82,ACTIVE
10064,48910,Personal Loan,4994195,7.85,83236.58,CLOSED
10065,15306,Personal Loan,1899378,11.77,31656.3,CLOSED
10066,3829,Car Loan,435830,9.27,7263.83,CLOSED
10067,40002,Car Loan,564822,10.1,9413.7,DEFAULT
10068,11514,Personal Loan,244491,8.93,4074.85,ACTIVE
10069,48167,Car Loan,4345761,7.87,72429.35,CLOSED
10070,41180,Car Loan,4985819,14.27,83096.98,CLOSED
10071,44299,Car Loan,153381,8.5,2556.35,ACTIVE
10072,39653,Personal Loan,403326,8.3,6722.1,DEFAULT
10073,44966,Home Loan,2695250,7.97,44920.83,CLOSED
10074,47013,Home Loan,1446764,9.01,24112.73,ACTIVE
10075,26318,Personal Loan,1869294,12.79,31154.9,CLOSED
10076,18755,Home Loan,4803000,13.83,80050.0,DEFAULT
10077,11671,Car Loan,678057,13.12,11300.95,DEFAULT
10078,36802,Home Loan,806717,8.71,13445.28,ACTIVE
10079,32987,Car Loan,2830701,7.56,47178.35,DEFAULT
10080,2480,Home Loan,4884850,13.65,81414.17,ACTIVE
10081,7413,Car Loan,341785,8.84,5696.42,ACTIVE
10082,29527,Home Loan,3523443,9.89,58724.05,ACTIVE
10083,29143,Car Loan,4701182,13.26,78353.03,ACTIVE
10084,23100,Car Loan,1234303,13.9,20571.72,CLOSED
10085,391,Personal Loan,3312653,13.73,55210.88,DEFAULT
10086,19304,Personal Loan,1855676,8.28,30927.93,DEFAULT
10087,841,Personal Loan,1279094,12.78,21318.23,DEFAULT
10088,24328,Car Loan,4434686,9.82,73911.43,DEFAULT
10089,40087,Personal Loan,2308712,7.96,38478.53,CLOSED
10090,4188,Car Loan,2952006,10.01,49200.1,CLOSED
10091,32668,Home Loan,756933,8.83,12615.55,CLOSED
10092,26103,Car Loan,4030903,13.41,67181.72,ACTIVE
10093,31128,Home Loan,841344,10.7,14022.4,ACTIVE
10094,40267,Car Loan,230305,9.67,3838.42,ACTIVE
10095,3062,Home Loan,3488174,8.32,58136.23,ACTIVE
10096,37509,Car Loan,1469379,11.05,24489.65,CLOSED
10097,18037,Personal Loan,4715391,12.0,78589.85,CLOSED
10098,42756,Home Loan,643266,7.34,10721.1,ACTIVE
10099,24679,Personal Loan,955161,12.42,15919.35,ACTIVE
10100,40702,Personal Loan,258546,11.85,4309.1,DEFAULT
10101,46856,Personal Loan,1884002,14.06,31400.03,CLOSED
10102,10806,Home Loan,4407901,10.2,73465.02,CLOSED
10103,45083,Car Loan,1211704,12.61,20195.07,DEFAULT
10104,23232,Personal Loan,1051574,10.79,17526.23,ACTIVE
10105,20898,Home Loan,1133701,12.62,18895.02,ACTIVE
10106,24111,Home Loan,3124298,12.23,52071.63,ACTIVE
10107,42361,Home Loan,3351760,11.5,55862.67,DEFAULT
10108,1679,Home Loan,2635293,9.35,43921.55,DEFAULT
10109,26478,Car Loan,593329,8.33,9888.82,ACTIVE
10110,7729,Personal Loan,640625,11.4,10677.08,DEFAULT
10111,33503,Personal Loan,1611904,14.56,26865.07,ACTIVE
10112,49785,Personal Loan,4515744,8.26,75262.4,CLOSED
10113,33100,Home Loan,1213175,13.19,20219.58,CLOSED
10114,17340,Home Loan,1938460,9.87,32307.67,DEFAULT
10115,49829,Home Loan,3260048,13.91,54334.13,CLOSED
10116,34301,Home Loan,952529,14.34,15875.48,DEFAULT
10117,9225,Personal Loan,2317448,10.5,38624.13,CLOSED
10118,48309,Personal Loan,2004150,11.11,33402.5,DEFAULT
10119,27896,Car Loan,1729297,11.27,28821.62,ACTIVE
10120,44936,Home Loan,474072,11.4,7901.2,CLOSED
10121,18805,Car Loan,2215743,8.07,36929.05,ACTIVE
10122,34656,Home Loan,4218969,12.49,70316.15,ACTIVE
10123,25068,Car Loan,575333,11.18,9588.88,CLOSED
10124,28153,Home Loan,4202765,10.6,70046.08,ACTIVE
10125,31728,Car Loan,4994580,11.18,83243.0,ACTIVE
10126,9551,Car Loan,4476265,7.7,74604.42,DEFAULT
10127,42757,Personal Loan,1073130,8.95,17885.5,ACTIVE
10128,1043,Personal Loan,4734001,10.25,78900.02,DEFAULT
10129,6818,Car Loan,2916698,10.87,48611.63,CLOSED
10130,14913,Car Loan,3637203,13.13,60620.05,ACTIVE
10131,45988,Car Loan,3042179,8.01,50702.98,DEFAULT
10132,44617,Car Loan,700383,9.33,11673.05,CLOSED
10133,36130,Personal Loan,2728006,8.25,45466.77,DEFAULT
10134,7696,Car Loan,1088964,14.12,18149.4,DEFAULT
10135,32711,Home Loan,2005029,13.5,33417.15,DEFAULT
10136,16604,Home Loan,3001485,11.76,50024.75,CLOSED
10137,10307,Car Loan,3830133,11.13,63835.55,DEFAULT
10138,15109,Home Loan,2271486,8.52,37858.1,CLOSED
10139,3889,Car Loan,3171258,9.73,52854.3,CLOSED
10140,36220,Home Loan,2168774,8.88,36146.23,ACTIVE
10141,40991,Home Loan,3424349,12.01,57072.48,DEFAULT
10142,42769,Home Loan,4595680,14.33,76594.67,DEFAULT
10143,14512,Car Loan,430376,12.09,7172.93,DEFAULT
10144,2844,Car Loan,2865705,14.94,47761.75,DEFAULT
10145,29886,Car Loan,1123381,12.39,18723.02,ACTIVE
10146,5039,Personal Loan,3925232,13.18,65420.53,ACTIVE
10147,6511,Home Loan,4037552,12.5,67292.53,CLOSED
10148,15927,Personal Loan,2244009,14.34,37400.15,ACTIVE
10149,42481,Personal Loan,2215397,14.39,36923.28,DEFAULT
10150,35234,Car Loan,4456310,13.61,74271.83,DEFAULT
10151,22708,Car Loan,684902,13.78,11415.03,ACTIVE
10152,4894,Home Loan,542232,11.53,9037.2,ACTIVE
10153,30939,Home Loan,2807028,11.74,46783.8,CLOSED
10154,8172,Home Loan,3978137,10.16,66302.28,CLOSED
10155,25348,Home Loan,2914583,10.06,48576.38,CLOSED
10156,10145,Personal Loan,1464168,11.34,24402.8,ACTIVE
10157,12132,Personal Loan,502913,13.29,8381.88,CLOSED
10158,30180,Personal Loan,570053,10.98,9500.88,CLOSED
10159,35737,Personal Loan,4891565,13.39,81526.08,DEFAULT
10160,29259,Personal Loan,2655382,10.78,44256.37,ACTIVE
10161,9366,Home Loan,597732,8.85,9962.2,DEFAULT
10162,33019,Home Loan,2445484,9.85,40758.07,ACTIVE
10163,43242,Home Loan,4407627,8.1,73460.45,CLOSED
10164,1786,Personal Loan,4809922,12.17,80165.37,DEFAULT
10165,31657,Car Loan,4669770,10.51,77829.5,ACTIVE
10166,22822,Home Loan,1237060,7.48,20617.67,DEFAULT
10167,13982,Car Loan,4310726,11.12,71845.43,CLOSED
10168,25416,Home Loan,225120,12.41,3752.0,ACTIVE
10169,10897,Personal Loan,1004412,10.91,16740.2,CLOSED
10170,28698,Car Loan,2431027,14.54,40517.12,ACTIVE
10171,28741,Car Loan,1391336,7.71,23188.93,DEFAULT
10172,30541,Home Loan,3378656,7.5,56310.93,CLOSED
10173,5367,Car Loan,4534937,7.19,75582.28,DEFAULT
10174,1330,Home Loan,4694068,11.78,78234.47,DEFAULT
10175,7729,Home Loan,3098958,9.7,51649.3,ACTIVE
10176,16117,Car Loan,3845568,13.89,64092.8,DEFAULT
10177,40184,Car Loan,3385814,13.04,56430.23,ACTIVE
10178,16376,Car Loan,3546746,10.76,59112.43,ACTIVE
10179,19817,Home Loan,1593349,13.01,26555.82,ACTIVE
10180,31497,Home Loan,3328218,7.36,55470.3,ACTIVE
10181,31529,Car Loan,2424244,7.2,40404.07,ACTIVE
10182,46798,Home Loan,487731,8.88,8128.85,ACTIVE
10183,40047,Personal Loan,4935571,7.76,82259.52,CLOSED
10184,19877,Car Loan,2676255,12.97,44604.25,ACTIVE
10185,38812,Home Loan,2092076,11.82,34867.93,ACTIVE
10186,14399,Personal Loan,253097,14.73,4218.28,CLOSED
10187,25643,Car Loan,1645703,7.34,27428.38,ACTIVE
10188,23975,Personal Loan,2155910,7.43,35931.83,ACTIVE
10189,11966,Home Loan,3185726,12.6,53095.43,DEFAULT
10190,18032,Personal Loan,3343525,14.14,55725.42,ACTIVE
10191,28074,Personal Loan,78286,10.02,1304.77,ACTIVE
10192,36235,Home Loan,4156515,8.49,69275.25,ACTIVE
10193,2504,Home Loan,3332517,13.24,55541.95,CLOSED
10194,30672,Home Loan,2434664,7.02,40577.73,DEFAULT
10195,15084,Home Loan,2845882,7.79,47431.37,CLOSED
10196,35804,Personal Loan,236431,8.55,3940.52,DEFAULT
10197,21221,Car Loan,2090555,9.1,34842.58,ACTIVE
10198,6561,Home Loan,1729083,11.79,28818.05,ACTIVE
10199,36242,Personal Loan,2602599,8.09,43376.65,CLOSED
10200,48523,Personal Loan,4979403,12.02,82990.05,ACTIVE
10201,1333,Home Loan,2232396,10.76,37206.6,ACTIVE
10202,8211,Personal Loan,4291119,13.6,71518.65,DEFAULT
10203,22829,Car Loan,1782943,8.06,29715.72,ACTIVE
10204,21189,Personal Loan,690201,9.71,11503.35,ACTIVE
10205,33606,Personal Loan,4695073,11.49,78251.22,DEFAULT
10206,425,Personal Loan,1277202,12.08,21286.7,ACTIVE
10207,16592,Personal Loan,3072498,11.5,51208.3,CLOSED
10208,5524,Car Loan,4086403,13.77,68106.72,ACTIVE
10209,612,Personal Loan,1954210,14.28,32570.17,ACTIVE
10210,47151,Car Loan,4349795,7.26,72496.58,DEFAULT
10211,33589,Personal Loan,849478,14.94,14157.97,DEFAULT
10212,40057,Personal Loan,3971831,9.44,66197.18,CLOSED
10213,41699,Home Loan,1151121,7.54,19185.35,CLOSED
10214,4599,Car Loan,179439,9.8,2990.65,CLOSED
10215,27338,Car Loan,2499783,10.6,41663.05,ACTIVE
10216,46769,Home Loan,2269858,12.5,37830.97,DEFAULT
10217,5879,Home Loan,4376100,12.81,72935.0,CLOSED
10218,29158,Home Loan,3190605,9.16,53176.75,CLOSED
10219,27357,Car Loan,2767922,8.73,46132.03,CLOSED
10220,35443,Home Loan,657888,14.88,10964.8,DEFAULT
10221,32852,Car Loan,839034,13.24,13983.9,DEFAULT
10222,49266,Personal Loan,1249156,8.21,20819.27,DEFAULT
10223,32064,Car Loan,4199478,7.58,69991.3,CLOSED
10224,29254,Car Loan,3151957,12.07,52532.62,CLOSED
10225,14081,Personal Loan,1712650,7.69,28544.17,CLOSED
10226,5513,Home Loan,2779819,10.95,46330.32,DEFAULT
10227,29090,Personal Loan,4691723,10.34,78195.38,ACTIVE
10228,30048,Car Loan,3168529,12.7,52808.82,ACTIVE
10229,42615,Car Loan,4852771,10.96,80879.52,ACTIVE
10230,42786,Personal Loan,3273621,11.77,54560.35,CLOSED
10231,30058,Car Loan,399306,7.33,6655.1,DEFAULT
10232,49785,Car Loan,4380700,10.25,73011.67,DEFAULT
10233,33715,Car Loan,1254849,8.75,20914.15,ACTIVE
10234,27919,Home Loan,163214,14.16,2720.23,CLOSED
10235,7950,Car Loan,1474066,8.69,24567.77,ACTIVE
10236,23864,Car Loan,3136588,13.51,52276.47,CLOSED
10237,5781,Personal Loan,3677354,8.4,61289.23,DEFAULT
10238,34306,Car Loan,4298542,14.14,71642.37,ACTIVE
10239,40318,Home Loan,1906348,8.76,31772.47,ACTIVE
10240,15219,Car Loan,1630226,11.52,27170.43,CLOSED
10241,39401,Personal Loan,1165063,9.93,19417.72,DEFAULT
10242,2357,Home Loan,2794789,8.1,46579.82,ACTIVE
10243,37659,Car Loan,3997833,12.12,66630.55,CLOSED
10244,38690,Home Loan,3744755,12.3,62412.58,CLOSED
10245,35409,Car Loan,4531626,13.63,75527.1,ACTIVE
10246,25232,Personal Loan,2404529,7.51,40075.48,ACTIVE
10247,23532,Personal Loan,4955063,11.79,82584.38,ACTIVE
10248,43658,Car Loan,1061443,7.19,17690.72,DEFAULT
10249,31661,Car Loan,4509572,14.99,75159.53,CLOSED
10250,32595,Car Loan,1290649,9.88,21510.82,ACTIVE
10251,34726,Personal Loan,4972811,11.15,82880.18,DEFAULT
10252,46638,Car Loan,1491488,10.9,24858.13,CLOSED
10253,41551,Home Loan,3399035,10.93,56650.58,DEFAULT
10254,32589,Personal Loan,2246174,13.75,37436.23,DEFAULT
10255,31846,Car Loan,2196773,10.38,36612.88,CLOSED
10256,43155,Car Loan,966951,13.59,16115.85,CLOSED
10257,47499,Car Loan,1481919,7.44,24698.65,DEFAULT
10258,20761,Home Loan,4532638,9.81,75543.97,DEFAULT
10259,18928,Home Loan,2339028,13.36,38983.8,DEFAULT
10260,20828,Personal Loan,427364,8.61,7122.73,CLOSED
10261,3179,Personal Loan,51600,13.22,860.0,ACTIVE
10262,25085,Home Loan,3060342,10.52,51005.7,ACTIVE
10263,23583,Personal Loan,1987453,12.42,33124.22,CLOSED
10264,35477,Car Loan,4715013,9.38,78583.55,DEFAULT
10265,21862,Car Loan,925798,9.56,15429.97,CLOSED
10266,6996,Personal Loan,1067169,13.86,17786.15,CLOSED
10267,32333,Personal Loan,2680845,8.59,44680.75,DEFAULT
10268,20513,Home Loan,300919,11.23,5015.32,ACTIVE
10269,3388,Personal Loan,1400811,7.04,23346.85,ACTIVE
10270,23111,Car Loan,2969526,14.18,49492.1,ACTIVE
10271,23913,Home Loan,1082781,14.66,18046.35,ACTIVE
10272,5738,Car Loan,1760594,11.01,29343.23,ACTIVE
10273,16497,Personal Loan,667385,9.52,11123.08,CLOSED
10274,19146,Car Loan,3280570,7.01,54676.17,CLOSED
10275,44169,Car Loan,1733583,7.69,28893.05,ACTIVE
10276,23741,Car Loan,2832456,9.46,47207.6,CLOSED
10277,47407,Home Loan,1360123,14.48,22668.72,ACTIVE
10278,40531,Car Loan,4192517,8.25,69875.28,DEFAULT
10279,25356,Personal Loan,1366459,11.85,22774.32,DEFAULT
10280,43468,Car Loan,2016744,10.25,33612.4,CLOSED
10281,37943,Personal Loan,4647491,7.12,77458.18,CLOSED
10282,5683,Home Loan,1536567,13.23,25609.45,ACTIVE
10283,11760,Home Loan,159215,11.21,2653.58,ACTIVE
10284,13737,Personal Loan,479318,13.75,7988.63,CLOSED
10285,36385,Home Loan,3420878,7.52,57014.63,DEFAULT
10286,26993,Home Loan,1509185,13.26,25153.08,ACTIVE
10287,32665,Home Loan,1051663,10.31,17527.72,ACTIVE
10288,38957,Home Loan,1866847,9.88,31114.12,ACTIVE
10289,22828,Personal Loan,1312547,10.62,21875.78,DEFAULT
10290,1207,Car Loan,2203086,7.03,36718.1,CLOSED
10291,32170,Personal Loan,1550468,8.19,25841.13,CLOSED
10292,42308,Home Loan,4937228,10.26,82287.13,CLOSED
10293,8489,Car Loan,1097876,8.37,18297.93,ACTIVE
10294,18483,Personal Loan,2706859,7.82,45114.32,CLOSED
10295,32670,Car Loan,3462729,9.26,57712.15,ACTIVE
10296,10240,Personal Loan,2355990,12.96,39266.5,ACTIVE
10297,10485,Personal Loan,2517825,9.01,41963.75,DEFAULT
10298,16152,Car Loan,555644,11.71,9260.73,CLOSED
10299,41426,Personal Loan,680792,11.7,11346.53,ACTIVE
10300,5091,Personal Loan,4937275,8.37,82287.92,CLOSED
10301,565,Home Loan,771033,10.17,12850.55,CLOSED
10302,32735,Car Loan,132337,11.81,2205.62,CLOSED
10303,37028,Car Loan,2985709,11.1,49761.82,DEFAULT
10304,4971,Car Loan,368111,9.68,6135.18,DEFAULT
10305,38710,Car Loan,973996,14.26,16233.27,DEFAULT
10306,8575,Home Loan,4684023,12.42,78067.05,CLOSED
10307,10112,Car Loan,2805273,10.25,46754.55,CLOSED
10308,28032,Home Loan,4716509,8.63,78608.48,ACTIVE
10309,6877,Personal Loan,1601351,12.48,26689.18,DEFAULT
10310,24579,Home Loan,3440537,13.26,57342.28,ACTIVE
10311,9304,Home Loan,4088006,9.56,68133.43,ACTIVE
10312,2011,Car Loan,4355453,11.81,72590.88,DEFAULT
10313,21617,Car Loan,1574009,8.96,26233.48,ACTIVE
10314,40379,Car Loan,3054031,12.39,50900.52,DEFAULT
10315,28576,Personal Loan,3775773,11.44,62929.55,ACTIVE
10316,25689,Home Loan,4506693,7.56,75111.55,ACTIVE
10317,16362,Home Loan,4143287,11.34,69054.78,ACTIVE
10318,17719,Personal Loan,2289232,8.53,38153.87,CLOSED
10319,32328,Personal Loan,963806,9.34,16063.43,CLOSED
10320,36415,Personal Loan,4675632,7.26,77927.2,CLOSED
10321,36265,Car Loan,4782227,13.7,79703.78,ACTIVE
10322,32005,Personal Loan,3306975,13.24,55116.25,DEFAULT
10323,26991,Car Loan,114969,12.55,1916.15,CLOSED
10324,27460,Personal Loan,369614,10.96,6160.23,DEFAULT
10325,24496,Home Loan,1750472,11.85,29174.53,CLOSED
10326,14024,Home Loan,2056801,13.92,34280.02,DEFAULT
10327,37239,Car Loan,3470553,8.64,57842.55,CLOSED
10328,36959,Personal Loan,4779788,9.46,79663.13,ACTIVE
10329,6249,Home Loan,1912572,9.92,31876.2,DEFAULT
10330,801,Home Loan,1236907,11.04,20615.12,ACTIVE
10331,2106,Car Loan,159595,7.14,2659.92,DEFAULT
10332,655,Personal Loan,1458835,11.43,24313.92,DEFAULT
10333,35843,Car Loan,1312610,13.0,21876.83,DEFAULT
10334,6599,Personal Loan,3491805,7.52,58196.75,DEFAULT
10335,7950,Car Loan,3433903,12.78,57231.72,CLOSED
10336,181,Personal Loan,233948,10.17,3899.13,DEFAULT
10337,49514,Car Loan,3549745,14.15,59162.42,CLOSED
10338,36550,Personal Loan,1649089,10.56,27484.82,CLOSED
10339,32445,Personal Loan,3048619,9.16,50810.32,CLOSED
10340,10852,Home Loan,3475973,9.99,57932.88,CLOSED
10341,41725,Home Loan,239232,14.28,3987.2,ACTIVE
10342,31304,Home Loan,2576902,10.73,42948.37,ACTIVE
10343,43487,Car Loan,1392592,9.0,23209.87,CLOSED
10344,3276,Personal Loan,383955,10.1,6399.25,DEFAULT
10345,24256,Personal Loan,1378016,10.94,22966.93,ACTIVE
10346,3957,Personal Loan,2148584,8.32,35809.73,CLOSED
10347,44451,Car Loan,2113668,12.77,35227.8,ACTIVE
10348,18184,Car Loan,504522,12.27,8408.7,ACTIVE
10349,47006,Personal Loan,387021,7.42,6450.35,CLOSED
10350,19721,Personal Loan,3039577,14.96,50659.62,ACTIVE
10351,29397,Personal Loan,4662045,9.4,77700.75,DEFAULT
10352,4274,Personal Loan,2644732,13.06,44078.87,ACTIVE
10353,24866,Home Loan,1491214,7.98,24853.57,ACTIVE
10354,4181,Car Loan,4442777,14.17,74046.28,DEFAULT
10355,11525,Personal Loan,1478812,14.45,24646.87,ACTIVE
10356,46429,Home Loan,535558,14.41,8925.97,ACTIVE
10357,31272,Car Loan,4764561,7.7,79409.35,ACTIVE
10358,17152,Car Loan,3901438,12.29,65023.97,DEFAULT
10359,46172,Car Loan,4399089,11.95,73318.15,CLOSED
10360,7994,Home Loan,3964810,13.42,66080.17,ACTIVE
10361,3921,Car Loan,4164779,12.92,69412.98,ACTIVE
10362,6014,Home Loan,3556054,12.05,59267.57,ACTIVE
10363,22116,Home Loan,203499,8.38,3391.65,DEFAULT
10364,27379,Car Loan,4470403,10.0,74506.72,DEFAULT
10365,19806,Home Loan,1731589,11.24,28859.82,CLOSED
10366,9396,Personal Loan,2577438,13.61,42957.3,CLOSED
10367,45114,Car Loan,1119037,10.05,18650.62,DEFAULT
10368,45808,Car Loan,3376685,9.15,56278.08,DEFAULT
10369,7592,Personal Loan,4856880,9.75,80948.0,CLOSED
10370,17159,Car Loan,4699696,7.03,78328.27,DEFAULT
10371,22638,Car Loan,373668,12.98,6227.8,CLOSED
10372,35034,Personal Loan,901455,11.97,15024.25,ACTIVE
10373,26115,Car Loan,3754979,12.79,62582.98,CLOSED
10374,18043,Personal Loan,4264838,7.65,71080.63,CLOSED
10375,46890,Car Loan,1425291,7.25,23754.85,CLOSED
10376,29242,Home Loan,4957394,9.65,82623.23,DEFAULT
10377,13548,Home Loan,4801029,7.1,80017.15,DEFAULT
10378,25862,Home Loan,2427576,13.64,40459.6,CLOSED
10379,42291,Car Loan,3777156,10.05,62952.6,CLOSED
10380,5447,Personal Loan,778809,13.44,12980.15,DEFAULT
10381,6101,Car Loan,4009143,11.88,66819.05,DEFAULT
10382,10271,Personal Loan,1443818,14.14,24063.63,ACTIVE
10383,48902,Car Loan,3659992,11.2,60999.87,ACTIVE
10384,14569,Car Loan,1768304,12.16,29471.73,ACTIVE
10385,14315,Personal Loan,3456927,8.68,57615.45,CLOSED
10386,19280,Home Loan,574221,14.65,9570.35,ACTIVE
10387,1271,Car Loan,3921257,12.82,65354.28,DEFAULT
10388,24457,Car Loan,2983291,14.89,49721.52,CLOSED
10389,832,Car Loan,905046,11.24,15084.1,CLOSED
10390,28636,Car Loan,2151906,13.61,35865.1,DEFAULT
10391,32807,Personal Loan,3961674,8.98,66027.9,ACTIVE
10392,29012,Personal Loan,464971,11.41,7749.52,CLOSED
10393,16690,Personal Loan,2494917,8.55,41581.95,ACTIVE
10394,2979,Car Loan,1232604,9.55,20543.4,ACTIVE
10395,45024,Home Loan,3292745,7.95,54879.08,ACTIVE
10396,42936,Car Loan,3928233,9.41,65470.55,ACTIVE
10397,48274,Personal Loan,1599366,12.32,26656.1,DEFAULT
10398,41721,Home Loan,4730012,10.26,78833.53,ACTIVE
10399,41265,Car Loan,4001488,13.56,66691.47,ACTIVE
10400,22018,Home Loan,779182,12.68,12986.37,ACTIVE
10401,32982,Personal Loan,1692947,11.66,28215.78,ACTIVE
10402,27076,Car Loan,4210307,10.44,70171.78,ACTIVE
10403,47302,Personal Loan,3117778,10.12,51962.97,CLOSED
10404,8454,Car Loan,2967264,10.85,49454.4,CLOSED
10405,33758,Home Loan,3316036,14.43,55267.27,CLOSED
10406,27937,Car Loan,3212617,9.63,53543.62,DEFAULT
10407,42210,Home Loan,3309457,10.56,55157.62,ACTIVE
10408,46838,Home Loan,1824342,9.9,30405.7,DEFAULT
10409,12113,Personal Loan,1182741,9.16,19712.35,CLOSED
10410,49522,Personal Loan,4928973,14.26,82149.55,CLOSED
10411,45643,Home Loan,2489412,11.7,41490.2,ACTIVE
10412,26106,Car Loan,2137446,14.71,35624.1,DEFAULT
10413,23711,Home Loan,1458972,12.14,24316.2,DEFAULT
10414,14967,Home Loan,539115,11.66,8985.25,ACTIVE
10415,19172,Car Loan,212562,10.81,3542.7,CLOSED
10416,28899,Personal Loan,684907,14.75,11415.12,CLOSED
10417,40312,Home Loan,3885581,8.23,64759.68,DEFAULT
10418,5251,Personal Loan,3023439,9.08,50390.65,ACTIVE
10419,20748,Home Loan,1598821,11.92,26647.02,ACTIVE
10420,12705,Home Loan,4171379,7.51,69522.98,ACTIVE
10421,34400,Car Loan,272961,12.9,4549.35,DEFAULT
10422,30889,Personal Loan,501565,14.07,8359.42,DEFAULT
10423,7275,Car Loan,753646,13.55,12560.77,CLOSED
10424,22793,Home Loan,172541,11.22,2875.68,DEFAULT
10425,24811,Personal Loan,1849922,9.9,30832.03,ACTIVE
10426,48958,Car Loan,2650865,13.09,44181.08,ACTIVE
10427,14080,Personal Loan,1763782,10.63,29396.37,DEFAULT
10428,28803,Home Loan,4060976,8.94,67682.93,ACTIVE
10429,14048,Car Loan,878972,7.62,14649.53,CLOSED
10430,43652,Car Loan,3287117,9.38,54785.28,CLOSED
10431,16351,Personal Loan,2456757,11.66,40945.95,CLOSED
10432,35920,Car Loan,1763670,12.77,29394.5,ACTIVE
10433,45850,Personal Loan,1753490,7.09,29224.83,DEFAULT
10434,49702,Car Loan,2432358,14.74,40539.3,CLOSED
10435,37929,Personal Loan,1489265,14.83,24821.08,CLOSED
10436,25722,Personal Loan,3706365,7.13,61772.75,DEFAULT
10437,32661,Car Loan,1612628,14.12,26877.13,CLOSED
10438,3949,Home Loan,2502080,13.92,41701.33,DEFAULT
10439,6585,Personal Loan,946427,7.93,15773.78,DEFAULT
10440,38889,Home Loan,3553428,12.59,59223.8,DEFAULT
10441,4973,Home Loan,2742795,10.48,45713.25,DEFAULT
10442,4576,Personal Loan,983043,10.66,16384.05,CLOSED
10443,17259,Personal Loan,1536865,13.96,25614.42,DEFAULT
10444,15519,Personal Loan,1985502,12.06,33091.7,DEFAULT
10445,49454,Home Loan,158659,10.8,2644.32,CLOSED
10446,47646,Car Loan,580368,8.91,9672.8,ACTIVE
10447,18179,Home Loan,2021126,9.1,33685.43,CLOSED
10448,47966,Home Loan,4537724,13.72,75628.73,CLOSED
10449,48452,Personal Loan,3252874,12.62,54214.57,DEFAULT
10450,14815,Home Loan,2059365,7.47,34322.75,CLOSED
10451,26577,Personal Loan,4961595,12.18,82693.25,DEFAULT
10452,8649,Home Loan,200160,14.87,3336.0,CLOSED
10453,10896,Car Loan,1470553,10.05,24509.22,DEFAULT
10454,18801,Car Loan,4898455,14.93,81640.92,DEFAULT
10455,43081,Home Loan,506028,14.58,8433.8,ACTIVE
10456,16632,Personal Loan,2605418,10.71,43423.63,ACTIVE
10457,5579,Personal Loan,2348733,11.7,39145.55,DEFAULT
10458,45374,Home Loan,552758,12.54,9212.63,DEFAULT
10459,38900,Home Loan,4876065,11.94,81267.75,DEFAULT
10460,42014,Personal Loan,1972692,14.44,32878.2,ACTIVE
10461,32987,Home Loan,716546,14.42,11942.43,ACTIVE
10462,40779,Car Loan,885231,10.87,14753.85,ACTIVE
10463,18173,Personal Loan,1209548,12.29,20159.13,CLOSED
10464,27233,Home Loan,1053295,11.43,17554.92,ACTIVE
10465,17922,Personal Loan,3039132,13.0,50652.2,ACTIVE
10466,45606,Car Loan,1630012,13.15,27166.87,CLOSED
10467,36449,Car Loan,615643,12.39,10260.72,CLOSED
10468,41711,Personal Loan,972452,11.41,16207.53,CLOSED
10469,38548,Car Loan,418643,7.98,6977.38,CLOSED
10470,37983,Home Loan,3361088,9.36,56018.13,ACTIVE
10471,20895,Car Loan,4278960,8.53,71316.0,DEFAULT
10472,13507,Car Loan,4228362,14.86,70472.7,ACTIVE
10473,15460,Personal Loan,827017,7.94,13783.62,DEFAULT
10474,41600,Personal Loan,123606,8.76,2060.1,CLOSED
10475,20240,Personal Loan,4824648,11.76,80410.8,CLOSED
10476,13523,Car Loan,390758,13.83,6512.63,ACTIVE
10477,17800,Car Loan,4485342,13.01,74755.7,CLOSED
10478,30170,Home Loan,1906958,10.76,31782.63,CLOSED
10479,28554,Car Loan,1190621,13.39,19843.68,CLOSED
10480,17152,Personal Loan,2719948,12.06,45332.47,DEFAULT
10481,41296,Car Loan,243765,10.09,4062.75,ACTIVE
10482,1361,Personal Loan,2453619,11.43,40893.65,CLOSED
10483,2567,Home Loan,314350,14.98,5239.17,CLOSED
10484,31304,Personal Loan,1160235,12.69,19337.25,DEFAULT
10485,33184,Personal Loan,4520594,7.97,75343.23,DEFAULT
10486,22648,Car Loan,3526440,8.53,58774.0,CLOSED
10487,34381,Home Loan,3156701,11.33,52611.68,CLOSED
10488,20652,Home Loan,1496571,8.78,24942.85,DEFAULT
10489,38833,Personal Loan,4468209,7.85,74470.15,DEFAULT
10490,22169,Personal Loan,2569621,13.49,42827.02,DEFAULT
10491,45872,Home Loan,1617911,7.4,26965.18,ACTIVE
10492,40679,Car Loan,574274,12.1,9571.23,DEFAULT
10493,48342,Personal Loan,1873612,12.96,31226.87,DEFAULT
10494,33135,Home Loan,532391,7.61,8873.18,ACTIVE
10495,18444,Personal Loan,3360232,13.43,56003.87,CLOSED
10496,12052,Personal Loan,1009619,12.2,16826.98,DEFAULT
10497,6037,Personal Loan,4085344,7.81,68089.07,ACTIVE
10498,8901,Car Loan,2371604,11.83,39526.73,DEFAULT
10499,2709,Home Loan,4873740,9.7,81229.0,ACTIVE
10500,10416,Personal Loan,3365503,7.14,56091.72,DEFAULT
10501,46399,Home Loan,4574069,14.91,76234.48,ACTIVE
